GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
zarzadzanie_jakoscia,foodordering.cart,CartHandler,0,9,0,2,0,1,0,2,0,1
zarzadzanie_jakoscia,foodordering.cart,CartService,0,35,0,2,0,13,0,5,0,4
zarzadzanie_jakoscia,foodordering.cart,Cart,0,21,0,0,0,7,0,4,0,4
zarzadzanie_jakoscia,foodordering.account,Account,3,48,1,3,1,19,1,9,0,8
zarzadzanie_jakoscia,foodordering.account,Address,0,15,0,0,0,6,0,3,0,3
zarzadzanie_jakoscia,foodordering.account,AccountService,0,32,0,0,0,10,0,4,0,4
zarzadzanie_jakoscia,foodordering.meal,MealRepository,1,75,1,3,0,18,1,10,0,9
zarzadzanie_jakoscia,foodordering.meal,Meal,3,56,0,2,2,19,1,9,1,8
zarzadzanie_jakoscia,foodordering.order,Order,4,53,0,2,1,16,1,10,1,9
zarzadzanie_jakoscia,foodordering.order,OrderStatus,0,24,0,0,0,2,0,1,0,1
